COMARCA,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,HA_DARPA_R,HA_DARPA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S,PROD_DARPA(t)_R,PROD_DARPA(t)_S,PROD_DARPA(t/ha)_R,PROD_DARPA(t/ha)_S
Alt Camp,BLAT,2023,15.9107054819153,412.0604312534851,17.0,412.0,31.827198092669143,417.6665560591768,2.184955226676341,1.049755154698223,20.332,116.184,1.196,0.282
Alt Camp,BLAT,2024,3.0699,403.1564,1.0,404.0,10.445176863071456,1117.306418176691,3.141456809333567,2.872794333082047,1.2,149.48,1.2,0.37
Alt Camp,BLAT,2025,11.47885998987206,444.2968088463468,12.73,489.99,50.89489201049485,1927.929324193232,4.451106230088458,4.49194759977831,57.29,1126.97,4.500392772977219,2.2999857139941637
Alt Camp,BLAT,2026,11.478900239319746,421.5657910941411,,,66.73223108366523,1752.9208646002282,5.813469033826176,4.158119329489851,,,,
Alt Camp,ORDI,2023,20.779767123201,2011.4902773707104,21.0,2013.0,67.58239341733385,1731.3081356639034,3.1483856321463155,0.8734518465833901,28.308,640.134,1.348,0.318
Alt Camp,ORDI,2024,22.4956,1445.0068,23.0,1450.0,116.68548437986604,4646.037214282529,5.190437598239156,3.1634692884044107,32.2,509.75,1.4,0.351551724137931
Alt Camp,ORDI,2025,18.538970542090656,1471.648442001636,14.2,1596.3100000000002,115.39796861320174,5837.347559065796,6.153507173282632,4.009439988897976,56.8,3990.78,4.0,2.50000313222369
Alt Camp,ORDI,2026,12.084048955915982,1442.4396581845135,,,73.64990191262575,5580.131335107257,6.09480333796306,3.8685371020168247,,,,
Alt Empordà,BLAT,2022,1403.7189,1938.9136,1406.0,1940.0,6043.715564382332,8057.8104621416705,4.183721025403239,3.9044034710530937,5764.6,7954.0,4.1000000000000005,4.1
Alt Empordà,BLAT,2023,1599.6611320912386,1858.4201100592456,59.0,2940.0,2399.5102969225672,4447.766718029012,1.4848440458141132,2.144014713405593,123.9,2734.2,2.1,0.93
Alt Empordà,BLAT,2024,1615.9631,1801.2301,37.0,3078.0,8891.701793464268,8812.58249291044,5.500044387530841,4.749484668642127,77.7,2862.54,2.1,0.93
Alt Empordà,BLAT,2025,1851.241145052726,2015.1005847445888,7.41,3691.28,8877.781852739963,10322.744733212572,4.795236885476692,4.971109301357565,22.23,15077.04,3.0,4.084501853015756
Alt Empordà,BLAT,2026,1489.8800537231089,1845.840580445972,,,10299.66780298395,10599.5965524954,6.913085236120707,5.742422538968364,,,,
Alt Empordà,BLAT DE MORO,2022,2840.0925,333.289,1836.0,216.0,23072.15507192829,2774.531718725699,8.203873162321564,8.252876471838013,21848.4,1468.8,11.9,6.8
Alt Empordà,BLAT DE MORO,2023,886.4643887207835,151.22845708720354,383.0,65.0,6162.6890425712745,1016.6045427548908,6.7026407231181935,6.448876124393316,2656.105,240.5,6.935,3.7
Alt Empordà,BLAT DE MORO,2024,292.1965,10.4959,60.0,,2204.613228225266,69.01679004293223,7.074530768349407,7.16657971320843,416.1,,6.9350000000000005,
Alt Empordà,BLAT DE MORO,2025,1214.6118825282792,70.83471266036754,634.23,14.24,9892.56962923999,565.6238931911065,8.055857820591589,8.034433912075121,9513.45,96.83,15.0,6.799859550561798
Alt Empordà,BLAT DE MORO,2026,1762.709935205924,100.55111734721008,,,13400.105252872663,717.8346262845613,7.601991107690235,7.139001984491408,,,,
Alt Empordà,ORDI,2022,2127.6745,4802.2508,1918.0,4328.0,11186.145999397051,20106.747060644284,5.344582164113067,4.158008656476317,7672.0,17312.0,4.0,4.0
Alt Empordà,ORDI,2023,2257.1449609570527,5254.980978243517,80.0,5736.0,7179.9471918110585,11594.773432164358,3.230382114396543,2.1483526200239136,172.0,8787.552,2.15,1.532
Alt Empordà,ORDI,2024,2656.8587,4943.9348,,6828.0,19066.223822201067,25251.367072148685,7.205328967445152,5.0634462835162415,,10460.496,,1.5320000000000005
Alt Empordà,ORDI,2025,2667.656032476668,4790.586028770317,3.63,6777.389999999999,15633.025016410766,23179.48601091241,5.880110046122632,4.796717695826406,14.52,27109.56,4.0,4.0
