COMARCA,ID_MUN,MUNICIPI,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S
Alt Camp,43001,Aiguamúrcia,AMETLLER,2025,0.101123830050265,143.07355961057186,0.1121296766761626,68.53215608380684,1.0871931240640031,0.4762031645740498
Alt Camp,43001,Aiguamúrcia,AMETLLER,2026,0.101123830050265,143.07355961057186,0.1095128544494991,9.581689731528748,1.154429586049735,0.096555905760496
Alt Camp,43001,Aiguamúrcia,BLAT,2023,,42.4093298314449,,24.823245637302147,,1.1901448177413765
Alt Camp,43001,Aiguamúrcia,BLAT,2024,,49.4384,,64.30428149583005,,1.2496353655820382
Alt Camp,43001,Aiguamúrcia,BLAT,2025,,27.51369336786464,,131.86891414084818,,5.07897271485138
Alt Camp,43001,Aiguamúrcia,BLAT,2026,,23.5492181237649,,106.58893200162947,,4.526219573042398
Alt Camp,43001,Aiguamúrcia,ORDI,2023,,55.3138826908055,,63.47037489744394,,1.398531428817822
Alt Camp,43001,Aiguamúrcia,ORDI,2024,,24.8417,,86.56649979162667,,3.363999034696252
Alt Camp,43001,Aiguamúrcia,ORDI,2025,,64.41790504714159,,258.38657090705874,,4.021352907176771
Alt Camp,43001,Aiguamúrcia,ORDI,2026,,65.17844559194702,,234.42337975535543,,3.596639619529667
Alt Camp,43005,Alcover,AMETLLER,2025,46.8937907860717,22.16673816226217,50.30843812209606,12.682938538069005,1.0946282884763676,0.5341740015894104
Alt Camp,43005,Alcover,AMETLLER,2026,46.8937907860717,22.16673816226217,38.88747417084962,6.688687601659224,0.7323839998576098,0.3057546026466389
Alt Camp,43005,Alcover,BLAT,2023,1.52152296961,15.884307987049,3.739637729408979,14.953291492229573,2.457825352690883,1.1117715401351045
Alt Camp,43005,Alcover,BLAT,2024,1.5219,9.3429,5.423043086465494,11.643963807135188,3.56333733258788,1.418332905035424
Alt Camp,43005,Alcover,BLAT,2025,,3.124616922086374,,13.71298768622026,,4.388694047353428
Alt Camp,43005,Alcover,BLAT,2026,,3.124616922086374,,10.377448402071527,,3.321190616589979
Alt Camp,43005,Alcover,ORDI,2023,,27.140646681121,,30.829444943284955,,1.2086038245030517
Alt Camp,43005,Alcover,ORDI,2024,,30.497,,86.97105773626569,,2.966048773610075
Alt Camp,43005,Alcover,ORDI,2025,,17.959646872404555,,46.43407994670359,,3.0723689005281702
Alt Camp,43005,Alcover,ORDI,2026,,16.452077790030692,,53.88327527761999,,3.275165359980921
Alt Camp,43010,Alió,AMETLLER,2025,3.62936136981784,38.30665528204139,3.840134344631404,17.571260897872172,0.9738964673560144,0.4410998847310758
Alt Camp,43010,Alió,AMETLLER,2026,3.62936136981784,38.30665528204139,3.0146429738408105,2.3871961746083907,0.6092946434237022,0.0692733392153891
